Location,Establishment ,Address ,Website
Brookline,Stoli Bar and Restaurant," 213 Washington St, Brookline, MA 02445",http://www.russian-restaurant-boston.com/
Brookline,Hop's and Scotch,"1306 Beacon St, Brookline, MA 02446",http://www.hopsnscotchbar.com/
Brookline,O Leary's Irish Pub,"1010 Beacon St, Brookline, MA 02446",
Brookline,Coolidge Corner Clubhouse,"307 Harvard St, Brookline, MA 02446",http://www.thecoolidgecornerclubhouse.com/index.php
Brookline,The Corrib Pub,"201 Harvard St, Brookline, MA, 02446",http://www.corribpub.com/brookline/
Brookline,404 Tapas Lounge,"404 Harvard St, Brookline, MA 02446",
Brookline,FugaKyu,"1280 Beacon St, Brookline, MA 02446",http://www.fugakyu.net/
Brookline,Osaka,"14 Green St, Brookline, MA 02446",http://brooklineosaka.com/
Brookline,Gari,"187 Harvard St, Brookline, MA 02446",http://www.garisushibrookline.com/
Cambridge,The Druid," 1357 Cambridge St, Cambridge, MA 02139",http://www.druidpub.com/
Cambridge,River Gods,"125 River St, Cambridge, MA 02139",http://www.rivergodsonline.com/
Cambridge,Atwood Tavern,"877 Cambridge St, Cambridge, MA 02141",http://www.atwoodstavern.com/
Cambridge,Shay's Pub," 58 Jfk St, Cambridge, MA 02138",
Cambridge,Miracle of Science Bar and Grill,"321 Massachusetts Ave, Cambridge, MA 02139",http://www.miracleofscience.us/
Cambridge,Brick and Mortar,"567 Massachusetts Ave, Cambridge, MA 02139",http://www.brickandmortarbar.com/
Cambridge,The Cellar,"991 Massachusetts Ave, Cambridge, MA 02138",http://www.gardenatthecellar.com/home/
Cambridge,Charlies Kitchen,"10 Eliot St, Cambridge, MA 02138",http://www.charlieskitchen.com/
Cambridge,Green Street," 280 Green St, Cambridge, MA 02139",http://www.greenstreetgrill.com/
Cambridge,People's Republik," 878 Massachusetts Ave, Cambridge, MA 02139",http://www.peoplesrepublik.com/
Cambridge,Temple Bar,"1688 Massachusetts Ave, Cambridge, MA 02138",http://templebarcambridge.com/
Cambridge,Lord Hobo,"92 Hampshire St, Cambridge, MA 02139",http://lordhobo.com/
Cambridge,Cantab Lounge,"738 Massachusetts Ave, Cambridge, MA 02139",http://www.cantab-lounge.com/
Cambridge,Joe Sent Me,"2388 Massachusetts Ave, Cambridge, MA 02140",http://www.joe-sent-me.com/
Cambridge,Noir," 1 Bennett St, Cambridge, MA 02138",http://www.noir-bar.com/
Cambridge,Park Restaurant and Lounge,"59 Jfk St, Cambridge, MA 02138",http://parkcambridge.com/
Cambridge,Grendel's Den,"89 Winthrop St, Cambridge, MA 02138
",http://www.grendelsden.com/
Cambridge,Puritan Company,"1166 Cambridge St, Cambridge, MA 02139",http://www.puritancambridge.com/
Cambridge,Meadhall,"4 Cambridge Center, Cambridge, MA 02142",http://www.themeadhall.com/
Cambridge,Plough and Stars (Venue),"912 Massachusetts Ave, Cambridge, MA 02139",http://www.ploughandstars.com/
Cambridge,Cambridge Common,"1667 Massachusetts Ave, Cambridge, MA 02138",http://www.cambridgecommonrestaurant.com/main.html
Cambridge,Toad,"1912 Massachusetts Ave, Cambridge, MA 02140",http://www.toadcambridge.com/
Cambridge,Courtside,"291 Cambridge St, Cambridge, MA 02141",http://courtside.wix.com/karaoke
Cambridge,Middle East (Venue Fri-Sat),"472-480 Massachusetts Ave, Cambridge, MA 02139",http://mideastoffers.com/me/
Cambridge,The Field,"20 Prospect St, Cambridge, MA 02139",http://www.thefieldpub.com/
Cambridge,Thirsty Ear/Ashedown Pub (MIT),"235 Albany St, Cambridge, MA 02139",http://thirsty-ear.mit.edu/
Cambridge,Grafton Street,"1230 Massachusetts Ave, Cambridge, MA 02138",http://graftonstreetcambridge.com/
Cambridge,Asgard Pub,"350 Massachusetts Ave, Cambridge, MA 02139",http://www.classicirish.com/
Cambridge,Middlesex Lounge,"315 Massachusetts Ave, Cambridge, MA 02139",http://www.middlesexlounge.us/
Cambridge,Westside Lounge,"1680 Massachusetts Ave, Cambridge, MA 02138",http://westsidelounge.com/
Cambridge,Tavern in the Square (Porter),"1815 Massachusetts Ave, Cambridge, MA 02140",http://www.taverninthesquare.com/
Cambridge,Pheonix Landing,"512 Massachusetts Ave, Cambridge, MA 02139",http://phoenixlandingbar.com/
Cambridge,Whitney's,"37 John F. Kennedy St, Cambridge, MA 02138",
Cambridge,Cambridge Queens Head (Harvard),"45 Quincy St, Cambridge, MA 02138",http://cqh.harvard.edu/
Cambridge,Muddy Charles Pub (MIT),"142 Memorial Drive, Cambridge, MA 02139",http://web.mit.edu/muddy/
Cambridge,Christophers,"1920 Massachusetts Ave, Cambridge, MA 02140",http://christopherscambridge.com.s122913.gridserver.com/
Cambridge,Hong Kong (Cambridge),"1238 Massachusetts Ave, Cambridge, MA 02140",http://www.hongkongharvard.com/
Cambridge,Firebrand Saints,"1 Broadway, Cambridge, MA 02142",http://firebrandsaints.com/
Cambridge,Flat Top Johnny's,"1 Kendall Sq, Cambridge, MA 02139",http://www.flattopjohnnys.com/
Cambridge,Tommy Doyles,"1 Kendall Square #100, Cambridge, MA 02139",http://tommydoyles.com/
Cambridge,Tory Row,"3 Brattle St, Cambridge, MA 02138",http://www.toryrow.us/
Cambridge,Bukowski Tavern (Cambridge),"1281 Cambridge St, Cambridge, MA 02139",http://bukowskitavern.net/
Cambridge,Westbridge,"1 Kendall Square, Cambridge, MA 02139",http://www.westbridgerestaurant.com/
Cambridge,TT the Bear's Place,"10 Brookline Street, Cambridge, MA 02139",http://www.ttthebears.com/
Cambridge,Summer Shack,"149 Alewife Brook Pkwy, Cambridge, MA 02140",http://www.summershackrestaurant.com/
Cambridge,The Sinclair (Venue),"52 Church St, Cambridge, MA 02138",http://www.sinclaircambridge.com/
Cambridge,Nubar (Starwood Preferred),"16 Garden St, Cambridge, MA 02138",http://www.spgrestaurantsandbars.com/united-states/massachusetts/cambridge/nubar
Cambridge,Lingo Bar and Grill,"1 Education St, Cambridge, MA 02141",http://www.lingobarandgrill.com/content/home.asp
Cambridge,Lizard Lounge,"1667 Massachusetts Ave, Cambridge, MA 02138",http://lizardloungeclub.com/
Cambridge,Russel House Tavern,"14 John F. Kennedy St, Cambridge, MA 02138",http://russellhousecambridge.com/
Downtown,JM Curley,"21 Temple Pl, Boston, MA 02111",http://jmcurleyboston.com/
